,RXDDRGID,RXDDRUG,RXDINGFL,RXDDCI1A,RXDDCI1B,RXDDCI1C,RXDDCI2A,RXDDCI2B,RXDDCI2C,RXDDCI3A,RXDDCI3B,RXDDCI3C,RXDDCI4A,RXDDCI4B,RXDDCI4C,RXDICI1A,RXDICI1B,RXDICI1C,RXDICI2A,RXDICI2B,RXDICI2C,RXDICI3A,RXDICI3B,RXDICI3C,RXDICI4A,RXDICI4B,RXDICI4C,RXDICI5A,RXDICI5B,RXDICI5C,RXDICI6A,RXDICI6B,RXDICI6C,RXDDCN1A,RXDDCN1B,RXDDCN1C,RXDDCN2A,RXDDCN2B,RXDDCN2C,RXDDCN3A,RXDDCN3B,RXDDCN3C,RXDDCN4A,RXDDCN4B,RXDDCN4C,RXDICN1A,RXDICN1B,RXDICN1C,RXDICN2A,RXDICN2B,RXDICN2C,RXDICN3A,RXDICN3B,RXDICN3C,RXDICN4A,RXDICN4B,RXDICN4C,RXDICN5A,RXDICN5B,RXDICN5C,RXDICN6A,RXDICN6B,RXDICN6C
409,b'd00645',b'HYDROFLUMETHIAZIDE',1.0,40.0,49.0,156.0,,,,,,,,,,40.0,49.0,156.0,,,,,,,,,,,,,,,,b'CARDIOVASCULAR AGENTS',b'DIURETICS',b'THIAZIDE AND THIAZIDE-LIKE DIURETICS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'CARDIOVASCULAR AGENTS',b'DIURETICS',b'THIAZIDE AND THIAZIDE-LIKE DIURETICS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
410,b'd00646',b'TRICHLORMETHIAZIDE',1.0,40.0,49.0,156.0,,,,,,,,,,40.0,49.0,156.0,,,,,,,,,,,,,,,,b'CARDIOVASCULAR AGENTS',b'DIURETICS',b'THIAZIDE AND THIAZIDE-LIKE DIURETICS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'CARDIOVASCULAR AGENTS',b'DIURETICS',b'THIAZIDE AND THIAZIDE-LIKE DIURETICS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
411,b'd00649',b'ETHACRYNIC ACID',1.0,40.0,49.0,154.0,,,,,,,,,,40.0,49.0,154.0,,,,,,,,,,,,,,,,b'CARDIOVASCULAR AGENTS',b'DIURETICS',b'LOOP DIURETICS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'CARDIOVASCULAR AGENTS',b'DIURETICS',b'LOOP DIURETICS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
412,b'd00651',b'UREA TOPICAL',1.0,133.0,136.0,248.0,,,,,,,,,,133.0,136.0,248.0,,,,,,,,,,,,,,,,b'TOPICAL AGENTS',b'DERMATOLOGICAL AGENTS',b'TOPICAL EMOLLIENTS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'TOPICAL AGENTS',b'DERMATOLOGICAL AGENTS',b'TOPICAL EMOLLIENTS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
413,b'd00652',b'GLYCERIN',1.0,87.0,95.0,,,,,,,,,,,87.0,95.0,,,,,,,,,,,,,,,,,b'GASTROINTESTINAL AGENTS',b'LAXATIVES',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'GASTROINTESTINAL AGENTS',b'LAXATIVES',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
414,b'd00653',b'ISOSORBIDE',1.0,105.0,110.0,,,,,,,,,,,105.0,110.0,,,,,,,,,,,,,,,,,b'MISCELLANEOUS AGENTS',b'MISCELLANEOUS UNCATEGORIZED AGENTS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'MISCELLANEOUS AGENTS',b'MISCELLANEOUS UNCATEGORIZED AGENTS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
415,b'd00655',b'THYROID DESICCATED',1.0,97.0,103.0,,,,,,,,,,,97.0,103.0,,,,,,,,,,,,,,,,,b'HORMONES/HORMONE MODIFIERS',b'THYROID HORMONES',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'HORMONES/HORMONE MODIFIERS',b'THYROID HORMONES',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
416,b'd00658',b'LIOTHYRONINE',1.0,97.0,103.0,,,,,,,,,,,97.0,103.0,,,,,,,,,,,,,,,,,b'HORMONES/HORMONE MODIFIERS',b'THYROID HORMONES',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'HORMONES/HORMONE MODIFIERS',b'THYROID HORMONES',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
417,b'd00659',b'LIOTRIX',1.0,97.0,103.0,,,,,,,,,,,97.0,103.0,,,,,,,,,,,,,,,,,b'HORMONES/HORMONE MODIFIERS',b'THYROID HORMONES',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'HORMONES/HORMONE MODIFIERS',b'THYROID HORMONES',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
418,b'd00683',b'LIDOCAINE TOPICAL',1.0,133.0,136.0,139.0,,,,,,,,,,133.0,136.0,139.0,,,,,,,,,,,,,,,,b'TOPICAL AGENTS',b'DERMATOLOGICAL AGENTS',b'TOPICAL ANESTHETICS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'TOPICAL AGENTS',b'DERMATOLOGICAL AGENTS',b'TOPICAL ANESTHETICS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
419,b'd00689',b'AMLODIPINE',1.0,40.0,48.0,,,,,,,,,,,40.0,48.0,,,,,,,,,,,,,,,,,b'CARDIOVASCULAR AGENTS',b'CALCIUM CHANNEL BLOCKING AGENTS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'CARDIOVASCULAR AGENTS',b'CALCIUM CHANNEL BLOCKING AGENTS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
420,b'd00692',b'CYCLANDELATE',1.0,40.0,52.0,,,,,,,,,,,40.0,52.0,,,,,,,,,,,,,,,,,b'CARDIOVASCULAR AGENTS',b'PERIPHERAL VASODILATORS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'CARDIOVASCULAR AGENTS',b'PERIPHERAL VASODILATORS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
421,b'd00693',b'ISOXSUPRINE',1.0,40.0,52.0,,,,,,,,,,,40.0,52.0,,,,,,,,,,,,,,,,,b'CARDIOVASCULAR AGENTS',b'PERIPHERAL VASODILATORS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'CARDIOVASCULAR AGENTS',b'PERIPHERAL VASODILATORS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
422,b'd00695',b'PAPAVERINE',1.0,40.0,52.0,,,,,,,,,,,40.0,52.0,,,,,,,,,,,,,,,,,b'CARDIOVASCULAR AGENTS',b'PERIPHERAL VASODILATORS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'CARDIOVASCULAR AGENTS',b'PERIPHERAL VASODILATORS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
423,b'd00696',b'ETHAVERINE',1.0,40.0,52.0,,,,,,,,,,,40.0,52.0,,,,,,,,,,,,,,,,,b'CARDIOVASCULAR AGENTS',b'PERIPHERAL VASODILATORS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'CARDIOVASCULAR AGENTS',b'PERIPHERAL VASODILATORS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
424,b'd00697',b'ISOPROTERENOL',1.0,40.0,54.0,,40.0,433.0,,122.0,125.0,180.0,,,,40.0,54.0,,40.0,433.0,,122.0,125.0,180.0,,,,,,,,,,b'CARDIOVASCULAR AGENTS',b'VASOPRESSORS',b'',b'CARDIOVASCULAR AGENTS',b'CATECHOLAMINES',b'',b'RESPIRATORY AGENTS',b'BRONCHODILATORS',b'ADRENERGIC BRONCHODILATORS',b'',b'',b'',b'CARDIOVASCULAR AGENTS',b'VASOPRESSORS',b'',b'CARDIOVASCULAR AGENTS',b'CATECHOLAMINES',b'',b'RESPIRATORY AGENTS',b'BRONCHODILATORS',b'ADRENERGIC BRONCHODILATORS',b'',b'',b'',b'',b'',b'',b'',b'',b''
425,b'd00699',b'EPINEPHRINE',1.0,40.0,54.0,,40.0,433.0,,122.0,125.0,180.0,,,,40.0,54.0,,40.0,433.0,,122.0,125.0,180.0,,,,,,,,,,b'CARDIOVASCULAR AGENTS',b'VASOPRESSORS',b'',b'CARDIOVASCULAR AGENTS',b'CATECHOLAMINES',b'',b'RESPIRATORY AGENTS',b'BRONCHODILATORS',b'ADRENERGIC BRONCHODILATORS',b'',b'',b'',b'CARDIOVASCULAR AGENTS',b'VASOPRESSORS',b'',b'CARDIOVASCULAR AGENTS',b'CATECHOLAMINES',b'',b'RESPIRATORY AGENTS',b'BRONCHODILATORS',b'ADRENERGIC BRONCHODILATORS',b'',b'',b'',b'',b'',b'',b'',b'',b''
426,b'd00700',b'EPHEDRINE',1.0,40.0,54.0,,122.0,127.0,,,,,,,,40.0,54.0,,122.0,127.0,,,,,,,,,,,,,,b'CARDIOVASCULAR AGENTS',b'VASOPRESSORS',b'',b'RESPIRATORY AGENTS',b'DECONGESTANTS',b'',b'',b'',b'',b'',b'',b'',b'CARDIOVASCULAR AGENTS',b'VASOPRESSORS',b'',b'RESPIRATORY AGENTS',b'DECONGESTANTS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
427,b'd00703',b'METHOXAMINE',1.0,40.0,54.0,,,,,,,,,,,40.0,54.0,,,,,,,,,,,,,,,,,b'CARDIOVASCULAR AGENTS',b'VASOPRESSORS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'CARDIOVASCULAR AGENTS',b'VASOPRESSORS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
428,b'd00704',b'PHENYLEPHRINE',1.0,40.0,54.0,,122.0,127.0,,,,,,,,40.0,54.0,,122.0,127.0,,,,,,,,,,,,,,b'CARDIOVASCULAR AGENTS',b'VASOPRESSORS',b'',b'RESPIRATORY AGENTS',b'DECONGESTANTS',b'',b'',b'',b'',b'',b'',b'',b'CARDIOVASCULAR AGENTS',b'VASOPRESSORS',b'',b'RESPIRATORY AGENTS',b'DECONGESTANTS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
429,b'd00709',b'BISOPROLOL',1.0,40.0,47.0,274.0,,,,,,,,,,40.0,47.0,274.0,,,,,,,,,,,,,,,,b'CARDIOVASCULAR AGENTS',b'BETA-ADRENERGIC BLOCKING AGENTS',"b'BETA BLOCKERS, CARDIOSELECTIVE'",b'',b'',b'',b'',b'',b'',b'',b'',b'',b'CARDIOVASCULAR AGENTS',b'BETA-ADRENERGIC BLOCKING AGENTS',"b'BETA BLOCKERS, CARDIOSELECTIVE'",b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
430,b'd00717',b'GUANFACINE',1.0,40.0,44.0,,,,,,,,,,,40.0,44.0,,,,,,,,,,,,,,,,,b'CARDIOVASCULAR AGENTS',"b'ANTIADRENERGIC AGENTS, CENTRALLY ACTING'",b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'CARDIOVASCULAR AGENTS',"b'ANTIADRENERGIC AGENTS, CENTRALLY ACTING'",b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
431,b'd00725',b'GUANADREL',1.0,40.0,43.0,,,,,,,,,,,40.0,43.0,,,,,,,,,,,,,,,,,b'CARDIOVASCULAR AGENTS',"b'ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING'",b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'CARDIOVASCULAR AGENTS',"b'ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING'",b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
432,b'd00726',b'DOXAZOSIN',1.0,40.0,43.0,,,,,,,,,,,40.0,43.0,,,,,,,,,,,,,,,,,b'CARDIOVASCULAR AGENTS',"b'ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING'",b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'CARDIOVASCULAR AGENTS',"b'ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING'",b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
433,b'd00728',b'RAMIPRIL',1.0,40.0,42.0,,,,,,,,,,,40.0,42.0,,,,,,,,,,,,,,,,,b'CARDIOVASCULAR AGENTS',b'ANGIOTENSIN CONVERTING ENZYME (ACE) INHIBITORS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'CARDIOVASCULAR AGENTS',b'ANGIOTENSIN CONVERTING ENZYME (ACE) INHIBITORS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
434,b'd00730',b'BENAZEPRIL',1.0,40.0,42.0,,,,,,,,,,,40.0,42.0,,,,,,,,,,,,,,,,,b'CARDIOVASCULAR AGENTS',b'ANGIOTENSIN CONVERTING ENZYME (ACE) INHIBITORS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'CARDIOVASCULAR AGENTS',b'ANGIOTENSIN CONVERTING ENZYME (ACE) INHIBITORS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
435,b'd00732',b'LISINOPRIL',1.0,40.0,42.0,,,,,,,,,,,40.0,42.0,,,,,,,,,,,,,,,,,b'CARDIOVASCULAR AGENTS',b'ANGIOTENSIN CONVERTING ENZYME (ACE) INHIBITORS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'CARDIOVASCULAR AGENTS',b'ANGIOTENSIN CONVERTING ENZYME (ACE) INHIBITORS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
436,b'd00734',b'PHENOXYBENZAMINE',1.0,40.0,51.0,,,,,,,,,,,40.0,51.0,,,,,,,,,,,,,,,,,b'CARDIOVASCULAR AGENTS',b'MISCELLANEOUS CARDIOVASCULAR AGENTS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'CARDIOVASCULAR AGENTS',b'MISCELLANEOUS CARDIOVASCULAR AGENTS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
437,b'd00743',b'SODIUM POLYSTYRENE SULFONATE',1.0,105.0,497.0,,,,,,,,,,,105.0,497.0,,,,,,,,,,,,,,,,,b'MISCELLANEOUS AGENTS',b'CATION EXCHANGE RESINS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'MISCELLANEOUS AGENTS',b'CATION EXCHANGE RESINS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
438,b'd00744',b'COLESTIPOL',1.0,358.0,19.0,252.0,,,,,,,,,,358.0,19.0,252.0,,,,,,,,,,,,,,,,b'METABOLIC AGENTS',b'ANTIHYPERLIPIDEMIC AGENTS',b'BILE ACID SEQUESTRANTS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'METABOLIC AGENTS',b'ANTIHYPERLIPIDEMIC AGENTS',b'BILE ACID SEQUESTRANTS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
439,b'd00746',b'SIMVASTATIN',1.0,358.0,19.0,173.0,,,,,,,,,,358.0,19.0,173.0,,,,,,,,,,,,,,,,b'METABOLIC AGENTS',b'ANTIHYPERLIPIDEMIC AGENTS',b'HMG-COA REDUCTASE INHIBITORS (STATINS)',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'METABOLIC AGENTS',b'ANTIHYPERLIPIDEMIC AGENTS',b'HMG-COA REDUCTASE INHIBITORS (STATINS)',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
440,b'd00749',b'ALBUTEROL',1.0,122.0,125.0,180.0,,,,,,,,,,122.0,125.0,180.0,,,,,,,,,,,,,,,,b'RESPIRATORY AGENTS',b'BRONCHODILATORS',b'ADRENERGIC BRONCHODILATORS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'RESPIRATORY AGENTS',b'BRONCHODILATORS',b'ADRENERGIC BRONCHODILATORS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
441,b'd00750',b'METAPROTERENOL',1.0,122.0,125.0,180.0,,,,,,,,,,122.0,125.0,180.0,,,,,,,,,,,,,,,,b'RESPIRATORY AGENTS',b'BRONCHODILATORS',b'ADRENERGIC BRONCHODILATORS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'RESPIRATORY AGENTS',b'BRONCHODILATORS',b'ADRENERGIC BRONCHODILATORS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
442,b'd00751',b'ISOETHARINE',1.0,122.0,125.0,180.0,,,,,,,,,,122.0,125.0,180.0,,,,,,,,,,,,,,,,b'RESPIRATORY AGENTS',b'BRONCHODILATORS',b'ADRENERGIC BRONCHODILATORS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'RESPIRATORY AGENTS',b'BRONCHODILATORS',b'ADRENERGIC BRONCHODILATORS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
443,b'd00752',b'TERBUTALINE',1.0,113.0,427.0,,122.0,125.0,180.0,,,,,,,113.0,427.0,,122.0,125.0,180.0,,,,,,,,,,,,,b'GENITOURINARY TRACT AGENTS',b'TOCOLYTIC AGENTS',b'',b'RESPIRATORY AGENTS',b'BRONCHODILATORS',b'ADRENERGIC BRONCHODILATORS',b'',b'',b'',b'',b'',b'',b'GENITOURINARY TRACT AGENTS',b'TOCOLYTIC AGENTS',b'',b'RESPIRATORY AGENTS',b'BRONCHODILATORS',b'ADRENERGIC BRONCHODILATORS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
444,b'd00754',b'BITOLTEROL',1.0,122.0,125.0,180.0,,,,,,,,,,122.0,125.0,180.0,,,,,,,,,,,,,,,,b'RESPIRATORY AGENTS',b'BRONCHODILATORS',b'ADRENERGIC BRONCHODILATORS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'RESPIRATORY AGENTS',b'BRONCHODILATORS',b'ADRENERGIC BRONCHODILATORS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
445,b'd00755',b'PIRBUTEROL',1.0,122.0,125.0,180.0,,,,,,,,,,122.0,125.0,180.0,,,,,,,,,,,,,,,,b'RESPIRATORY AGENTS',b'BRONCHODILATORS',b'ADRENERGIC BRONCHODILATORS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'RESPIRATORY AGENTS',b'BRONCHODILATORS',b'ADRENERGIC BRONCHODILATORS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
446,b'd00756',b'OXTRIPHYLLINE',1.0,122.0,125.0,126.0,,,,,,,,,,122.0,125.0,126.0,,,,,,,,,,,,,,,,b'RESPIRATORY AGENTS',b'BRONCHODILATORS',b'METHYLXANTHINES',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'RESPIRATORY AGENTS',b'BRONCHODILATORS',b'METHYLXANTHINES',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
447,b'd00758',b'AMINOPHYLLINE',1.0,122.0,125.0,126.0,,,,,,,,,,122.0,125.0,126.0,,,,,,,,,,,,,,,,b'RESPIRATORY AGENTS',b'BRONCHODILATORS',b'METHYLXANTHINES',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'RESPIRATORY AGENTS',b'BRONCHODILATORS',b'METHYLXANTHINES',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
448,b'd00759',b'DYPHYLLINE',1.0,122.0,125.0,126.0,,,,,,,,,,122.0,125.0,126.0,,,,,,,,,,,,,,,,b'RESPIRATORY AGENTS',b'BRONCHODILATORS',b'METHYLXANTHINES',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'RESPIRATORY AGENTS',b'BRONCHODILATORS',b'METHYLXANTHINES',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
449,b'd00760',b'BECLOMETHASONE',1.0,122.0,130.0,296.0,,,,,,,,,,122.0,130.0,296.0,,,,,,,,,,,,,,,,b'RESPIRATORY AGENTS',b'RESPIRATORY INHALANT PRODUCTS',b'INHALED CORTICOSTEROIDS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'RESPIRATORY AGENTS',b'RESPIRATORY INHALANT PRODUCTS',b'INHALED CORTICOSTEROIDS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
450,b'd00761',b'FLUNISOLIDE',1.0,122.0,130.0,296.0,,,,,,,,,,122.0,130.0,296.0,,,,,,,,,,,,,,,,b'RESPIRATORY AGENTS',b'RESPIRATORY INHALANT PRODUCTS',b'INHALED CORTICOSTEROIDS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'RESPIRATORY AGENTS',b'RESPIRATORY INHALANT PRODUCTS',b'INHALED CORTICOSTEROIDS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
451,b'd00762',b'ACETYLCYSTEINE',1.0,105.0,106.0,,122.0,130.0,297.0,,,,,,,105.0,106.0,,122.0,130.0,297.0,,,,,,,,,,,,,b'MISCELLANEOUS AGENTS',b'ANTIDOTES',b'',b'RESPIRATORY AGENTS',b'RESPIRATORY INHALANT PRODUCTS',b'MUCOLYTICS',b'',b'',b'',b'',b'',b'',b'MISCELLANEOUS AGENTS',b'ANTIDOTES',b'',b'RESPIRATORY AGENTS',b'RESPIRATORY INHALANT PRODUCTS',b'MUCOLYTICS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
452,b'd00765',b'CROMOLYN OPHTHALMIC',1.0,133.0,147.0,267.0,,,,,,,,,,133.0,147.0,267.0,,,,,,,,,,,,,,,,b'TOPICAL AGENTS',b'OPHTHALMIC PREPARATIONS',b'OPHTHALMIC ANTIHISTAMINES AND DECONGESTANTS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'TOPICAL AGENTS',b'OPHTHALMIC PREPARATIONS',b'OPHTHALMIC ANTIHISTAMINES AND DECONGESTANTS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
453,b'd00767',b'PHENYLPROPANOLAMINE',1.0,122.0,127.0,,,,,,,,,,,122.0,127.0,,,,,,,,,,,,,,,,,b'RESPIRATORY AGENTS',b'DECONGESTANTS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'RESPIRATORY AGENTS',b'DECONGESTANTS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
454,b'd00769',b'PSEUDOEPHEDRINE',1.0,122.0,127.0,,,,,,,,,,,122.0,127.0,,,,,,,,,,,,,,,,,b'RESPIRATORY AGENTS',b'DECONGESTANTS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'RESPIRATORY AGENTS',b'DECONGESTANTS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
455,b'd00771',b'NAPHAZOLINE OPHTHALMIC',1.0,133.0,147.0,267.0,,,,,,,,,,133.0,147.0,267.0,,,,,,,,,,,,,,,,b'TOPICAL AGENTS',b'OPHTHALMIC PREPARATIONS',b'OPHTHALMIC ANTIHISTAMINES AND DECONGESTANTS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'TOPICAL AGENTS',b'OPHTHALMIC PREPARATIONS',b'OPHTHALMIC ANTIHISTAMINES AND DECONGESTANTS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
456,b'd00773',b'TETRAHYDROZOLINE OPHTHALMIC',1.0,133.0,147.0,267.0,,,,,,,,,,133.0,147.0,267.0,,,,,,,,,,,,,,,,b'TOPICAL AGENTS',b'OPHTHALMIC PREPARATIONS',b'OPHTHALMIC ANTIHISTAMINES AND DECONGESTANTS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'TOPICAL AGENTS',b'OPHTHALMIC PREPARATIONS',b'OPHTHALMIC ANTIHISTAMINES AND DECONGESTANTS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
457,b'd00780',b'CLEMASTINE',1.0,122.0,123.0,,,,,,,,,,,122.0,123.0,,,,,,,,,,,,,,,,,b'RESPIRATORY AGENTS',b'ANTIHISTAMINES',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'RESPIRATORY AGENTS',b'ANTIHISTAMINES',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
458,b'd00781',b'TRIPELENNAMINE',1.0,122.0,123.0,,,,,,,,,,,122.0,123.0,,,,,,,,,,,,,,,,,b'RESPIRATORY AGENTS',b'ANTIHISTAMINES',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'RESPIRATORY AGENTS',b'ANTIHISTAMINES',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
459,b'd00784',b'DEXCHLORPHENIRAMINE',1.0,122.0,123.0,,,,,,,,,,,122.0,123.0,,,,,,,,,,,,,,,,,b'RESPIRATORY AGENTS',b'ANTIHISTAMINES',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'RESPIRATORY AGENTS',b'ANTIHISTAMINES',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
460,b'd00785',b'BROMPHENIRAMINE',1.0,122.0,123.0,,,,,,,,,,,122.0,123.0,,,,,,,,,,,,,,,,,b'RESPIRATORY AGENTS',b'ANTIHISTAMINES',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'RESPIRATORY AGENTS',b'ANTIHISTAMINES',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
461,b'd00786',b'TRIPROLIDINE',1.0,122.0,123.0,,,,,,,,,,,122.0,123.0,,,,,,,,,,,,,,,,,b'RESPIRATORY AGENTS',b'ANTIHISTAMINES',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'RESPIRATORY AGENTS',b'ANTIHISTAMINES',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
462,b'd00787',b'PROMETHAZINE',1.0,57.0,65.0,196.0,122.0,123.0,,,,,,,,57.0,65.0,196.0,122.0,123.0,,,,,,,,,,,,,,b'CENTRAL NERVOUS SYSTEM AGENTS',b'ANTIEMETIC/ANTIVERTIGO AGENTS',b'PHENOTHIAZINE ANTIEMETICS',b'RESPIRATORY AGENTS',b'ANTIHISTAMINES',b'',b'',b'',b'',b'',b'',b'',b'CENTRAL NERVOUS SYSTEM AGENTS',b'ANTIEMETIC/ANTIVERTIGO AGENTS',b'PHENOTHIAZINE ANTIEMETICS',b'RESPIRATORY AGENTS',b'ANTIHISTAMINES',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
